# fofid            subhaloid        galaxyid        x            y            z           redshift      velx          vely          velz          g_sdss        r_sdss        i_sdss       
  62000600000000   62000600000000   6000033002403   2.2068377    1.2804383    40.09019    0.019932542   10.53142      353.82367     -428.58444    -17.58396     -18.361332    -18.714016   
  62000600000000   62000600000000   6000033001921   2.2526746    1.0869426    39.925186   0.019932542   134.23795     -0.7508192    94.683876     -17.565086    -18.3365      -18.68526    
  62000600000003   62000600000114   6000036001815   28.749033    30.979544    47.53906    0.019932542   98.45361      47.41132      -276.2802     -16.23393     -17.1035      -17.522177   
  62000600000003   62000600000114   6000036002284   28.96726     31.178713    48.05323    0.019932542   581.86316     202.5639      -121.73399    -15.121777    -16.014484    -16.452253   
  62000300000008   62000300000330   3000050004460   43.63175     18.288435    16.572142   0.019932542   -292.1806     -333.15448    260.4061      -18.871677    -19.605       -19.933884   
  62000300000000   62000300000000   3000042006547   43.871014    14.853915    13.647159   0.019932542   285.22662     1401.7306     315.61252     -17.908422    -18.64866     -18.98305    
  62000300000000   62000300000000   3000042003769   44.608227    14.555511    13.548806   0.019932542   -40.617664    -450.83887    -47.29291     -13.897424    -14.538437    -14.820079   
  62000300000000   62000300000000   3000042002878   44.035057    14.8490505   13.6668     0.019932542   268.46613     -21.006748    81.33521      -15.674053    -16.513437    -16.910336   
  62000300000000   62000300000000   3000042002418   44.62149     14.118865    13.96615    0.019932542   -209.75565    -116.02466    315.71875     -13.720838    -14.334132    -14.601255   
  62000300000000   62000300000000   3000042010774   44.26854     14.917782    14.086773   0.019932542   315.3916      506.2979      456.6182      -17.913857    -18.675173    -19.019146   
  62000600000003   62000600000114   6000036003619   28.912806    31.217144    47.790394   0.019932542   -279.75598    187.94572     -387.4914     -15.497358    -16.356838    -16.772089   
  62000600000003   62000600000114   6000036004077   29.649479    31.258095    48.587257   0.019932542   262.2851      18.5526       127.66678     -16.4684      -17.038927    -17.309107   
  62000600000003   62000600000114   6000036000908   29.018764    31.153278    47.939045   0.019932542   -41.87046     244.91603     -190.80193    -14.949453    -15.680104    -16.01105    
  62000600000003   62000600000114   6000036002804   28.941605    31.321033    47.714947   0.019932542   -223.3255     135.51187     -139.62111    -14.604023    -15.327052    -15.656568   
  62000300000012   62000300000416   3000053004022   37.517555    13.768508    2.3535109   0.019932542   -68.2643      225.21559     825.1701      -18.20432     -18.67288     -18.912817   
  62000100000005   62000100000230   1000023001355   13.90729     40.089176    24.580637   0.019932542   189.66447     386.34952     567.6049      -15.038026    -15.763792    -16.092844   
  62000100000005   62000100000230   1000023001794   13.927844    40.52763     24.092068   0.019932542   198.05478     -190.45815    186.32367     -15.293663    -16.018791    -16.345633   
  62000100000005   62000100000230   1000023002226   14.16578     40.1379      24.270475   0.019932542   210.90848     112.94984     -79.16452     -16.343128    -16.965508    -17.237066   
  62000200000004   62000200000233   2000024005174   39.531227    52.30985     23.12941    0.019932542   -744.5046     193.14418     43.135307     -15.190898    -15.584395    -15.767447   
  62000300000004   62000300000230   3000047004554   41.214096    17.955116    18.830013   0.019932542   -119.228516   -59.443222    315.0329      -16.243536    -17.0036      -17.347912   
  62000000000010   62000000000204   8001830         25.505182    22.539194    24.601421   0.019932542   756.25256     -11.642195    289.30356     -16.071722    -16.788773    -17.11171    
  62000000000010   62000000000204   8002233         25.651009    22.443151    24.159225   0.019932542   413.0353      -140.03426    -62.520733    -15.78858     -16.523874    -16.852842   
  62000100000004   62000100000212   1000019022262   29.045242    57.575634    26.48488    0.019932542   677.8864      -250.22185    612.88257     -15.367596    -16.119915    -16.462553   
  62000100000004   62000100000212   1000019022746   29.013302    57.02422     26.230337   0.019932542   574.44867     -207.09473    430.93134     -15.112586    -15.683214    -15.940139   
  62000100000001   62000100000086   1000020002490   61.981613    57.05977     6.5221686   0.019932542   -216.34157    -155.98428    462.5026      99.0          99.0          99.0         
  62000100000001   62000100000086   1000020002985   61.81667     56.631977    6.453204    0.019932542   313.25394     175.27602     -135.16238    -14.731206    -15.41095     -15.71328    
  62000300000000   62000300000000   3000042007845   43.104546    14.526269    13.186966   0.019932542   280.06982     111.919395    383.7613      -15.35849     -16.052189    -16.360977   
  62000300000000   62000300000000   3000042008903   44.05287     14.8029175   13.732599   0.019932542   105.98494     -1050.7631    573.53265     -15.916097    -16.652508    -16.985373   
  62000600000000   62000600000000   6000033004880   2.1544118    1.0284635    40.34401    0.019932542   -95.47673     444.0621      631.28406     -14.92311     -15.524681    -15.778466   
  62000600000000   62000600000000   6000033004377   2.0152035    1.0815003    40.120007   0.019932542   84.51976      738.6161      212.22302     -14.769317    -15.493816    -15.821757   
  62000600000000   62000600000000   6000033003784   1.9737823    1.1184456    40.309193   0.019932542   152.83496     -35.294243    -334.31918    -15.589438    -16.329094    -16.666441   
